날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 09월 01일,"60,200 ","59,900 ","60,300 ","59,400 ",0 ,0.67%
2021년 08월 31일,"59,800 ","59,900 ","60,000 ","58,200 ","66,000 ",-0.17%
2021년 08월 30일,"59,900 ","61,200 ","61,300 ","59,800 ","1,000 ",-0.50%
2021년 08월 27일,"60,200 ","60,800 ","60,800 ","59,500 ","46,777,000 ",-0.82%
2021년 08월 26일,"60,700 ","60,500 ","61,500 ","60,100 ","37,000 ",3.23%
2021년 08월 25일,"58,800 ","59,500 ","59,600 ","58,200 ","3,000 ",-0.34%
2021년 08월 24일,"59,000 ","59,400 ","59,700 ","58,100 ","66,149,000 ",1.37%
2021년 08월 23일,"58,200 ","59,200 ","59,700 ","58,100 ","67,858,000 ",0.00%
2021년 08월 20일,"58,200 ","58,200 ","60,000 ","57,500 ","1,320,000 ",2.11%
2021년 08월 19일,"57,000 ","59,100 ","60,000 ","56,600 ","35,000 ",-5.00%
2021년 08월 18일,"60,000 ","60,000 ","60,400 ","58,500 ","1,100,000 ",-0.99%
2021년 08월 17일,"60,600 ","62,300 ","62,900 ","60,300 ","7,000 ",-2.10%
2021년 08월 13일,"61,900 ","65,100 ","69,500 ","61,700 ","4,830,000 ",-3.73%
2021년 08월 12일,"64,300 ","61,800 ","66,500 ","61,800 ","1,000 ",2.72%
2021년 08월 11일,"62,600 ","65,700 ","65,800 ","62,300 ","2,020,000 ",-5.15%
2021년 08월 10일,"66,000 ","65,700 ","66,900 ","65,200 ","172,000 ",-0.30%
2021년 08월 09일,"66,200 ","67,200 ","68,200 ","65,800 ","29,000 ",-1.49%
2021년 08월 06일,"67,200 ","66,600 ","67,200 ","66,100 ","71,741,000 ",1.36%
2021년 08월 05일,"66,300 ","66,800 ","67,100 ","65,700 ","2,000 ",-0.45%
2021년 08월 04일,"66,600 ","66,700 ","67,000 ","64,900 ","39,000 ",1.06%
2021년 08월 03일,"65,900 ","64,600 ","67,200 ","64,300 ","1,470,000 ",2.81%
