날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 09월 01일,"108,000 ","106,500 ","108,000 ","104,500 ","193,000 ",1.41%
2021년 08월 31일,"106,500 ","104,000 ","106,500 ","102,000 ","114,000 ",2.90%
2021년 08월 30일,"103,500 ","105,000 ","105,500 ","103,500 ","316,000 ",0.00%
2021년 08월 27일,"103,500 ","103,500 ","104,500 ","101,000 ","3,470,000 ",-0.48%
2021년 08월 26일,"104,000 ","106,000 ","106,500 ","103,500 ","16,000 ",0.48%
2021년 08월 25일,"103,500 ","106,000 ","106,000 ","102,500 ","25,000 ",-1.43%
2021년 08월 24일,"105,000 ","104,500 ","105,500 ","104,000 ","13,000 ",1.94%
2021년 08월 23일,"103,000 ","105,000 ","105,000 ","103,000 ","4,000 ",0.49%
2021년 08월 20일,"102,500 ","104,000 ","104,500 ","102,000 ","4,700,000 ",0.00%
2021년 08월 19일,"102,500 ","103,000 ","105,500 ","101,500 ","638,000 ",-1.44%
2021년 08월 18일,"104,000 ","103,000 ","105,500 ","101,500 ","7,980,000 ",2.46%
2021년 08월 17일,"101,500 ","101,000 ","103,500 ","100,500 ","516,000 ",0.00%
2021년 08월 13일,"101,500 ","99,600 ","101,500 ","98,900 ","11,280,000 ",1.00%
2021년 08월 12일,"100,500 ","102,500 ","104,000 ","99,900 ","1,089,000 ",-4.74%
2021년 08월 11일,"105,500 ","109,000 ","110,000 ","105,000 ","13,560,000 ",-6.22%
2021년 08월 10일,"112,500 ","115,500 ","115,500 ","112,000 ","570,000 ",-3.02%
2021년 08월 09일,"116,000 ","118,000 ","118,000 ","116,000 ","374,000 ",-1.69%
2021년 08월 06일,"118,000 ","119,000 ","119,500 ","117,500 ","2,190,000 ",-1.67%
2021년 08월 05일,"120,000 ","121,000 ","121,500 ","118,000 ","333,000 ",-0.83%
2021년 08월 04일,"121,000 ","122,000 ","123,000 ","120,500 ","64,000 ",0.83%
2021년 08월 03일,"120,000 ","117,000 ","120,500 ","117,000 ","6,000 ",3.45%
2021년 08월 02일,"116,000 ","113,500 ","117,000 ","113,000 ","16,000 ",3.11%
2021년 07월 30일,"112,500 ","114,000 ","114,000 ","112,500 ","2,820,000 ",-1.32%
2021년 07월 29일,"114,000 ","114,500 ","115,500 ","113,000 ","1,151,000 ",0.00%
2021년 07월 28일,"114,000 ","115,000 ","115,500 ","112,500 ","7,000 ",-1.72%
2021년 07월 27일,"116,000 ","117,500 ","119,000 ","116,000 ","489,000 ",-0.85%
2021년 07월 26일,"117,000 ","119,000 ","119,500 ","117,000 ","291,000 ",-1.27%
2021년 07월 23일,"118,500 ","118,500 ","119,000 ","117,500 ","1,730,000 ",-0.84%
2021년 07월 22일,"119,500 ","118,000 ","120,000 ","118,000 ","383,000 ",2.14%
2021년 07월 21일,"117,000 ","119,500 ","119,500 ","116,500 ",0 ,-1.27%
2021년 07월 20일,"118,500 ","118,000 ","119,000 ","117,500 ","10,000 ",-0.42%
2021년 07월 19일,"119,000 ","119,500 ","120,000 ","118,500 ","26,000 ",-2.06%
2021년 07월 16일,"121,500 ","122,000 ","122,500 ","120,500 ","2,900,000 ",-1.62%
2021년 07월 15일,"123,500 ","123,500 ","124,000 ","122,500 ","1,490,000 ",0.00%
2021년 07월 14일,"123,500 ","122,500 ","124,000 ","121,500 ","75,000 ",0.41%
2021년 07월 13일,"123,000 ","121,500 ","123,500 ","121,000 ","126,000 ",2.50%
2021년 07월 12일,"120,000 ","121,500 ","122,000 ","119,500 ","9,000 ",0.42%
2021년 07월 09일,"119,500 ","120,500 ","120,500 ","118,000 ","4,570,000 ",-1.65%
