날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 09월 01일,"76,800 ","76,600 ","77,100 ","75,900 ","84,000 ",0.13%
2021년 08월 31일,"76,700 ","74,800 ","76,700 ","74,300 ","1,670,000 ",2.82%
2021년 08월 30일,"74,600 ","75,400 ","75,400 ","74,200 ","429,000 ",0.40%
2021년 08월 27일,"74,300 ","74,300 ","75,000 ","73,800 ","15,060,000 ",-0.40%
2021년 08월 26일,"74,600 ","76,100 ","76,200 ","74,600 ","467,000 ",-1.45%
2021년 08월 25일,"75,700 ","76,200 ","76,500 ","74,900 ","200,000 ",0.13%
2021년 08월 24일,"75,600 ","73,900 ","75,700 ","73,900 ","37,000 ",3.14%
2021년 08월 23일,"73,300 ","73,300 ","74,000 ","73,000 ","19,300,000 ",0.83%
2021년 08월 20일,"72,700 ","73,500 ","73,900 ","72,500 ","22,120,000 ",-0.55%
2021년 08월 19일,"73,100 ","73,500 ","74,400 ","73,100 ","1,814,000 ",-1.08%
2021년 08월 18일,"73,900 ","73,900 ","74,600 ","73,100 ","28,930,000 ",-0.40%
2021년 08월 17일,"74,200 ","74,300 ","75,100 ","74,000 ","744,000 ",-0.27%
2021년 08월 13일,"74,400 ","75,800 ","76,000 ","74,100 ","60,800,000 ",-3.38%
2021년 08월 12일,"77,000 ","77,300 ","78,200 ","76,900 ","5,726,000 ",-1.91%
2021년 08월 11일,"78,500 ","79,600 ","79,800 ","78,500 ","29,830,000 ",-2.12%
2021년 08월 10일,"80,200 ","82,300 ","82,300 ","80,100 ","1,375,000 ",-1.60%
2021년 08월 09일,"81,500 ","81,500 ","82,300 ","80,900 ","15,370,000 ",0.00%
2021년 08월 06일,"81,500 ","81,900 ","82,500 ","81,300 ","13,280,000 ",-0.73%
2021년 08월 05일,"82,100 ","83,200 ","83,300 ","82,000 ","246,000 ",-0.97%
2021년 08월 04일,"82,900 ","82,100 ","83,100 ","81,800 ","2,581,000 ",1.84%
2021년 08월 03일,"81,400 ","79,400 ","81,400 ","79,300 ","146,000 ",2.65%
2021년 08월 02일,"79,300 ","79,100 ","79,500 ","78,700 ","155,000 ",1.02%
2021년 07월 30일,"78,500 ","78,900 ","78,900 ","78,500 ","13,120,000 ",-0.63%
2021년 07월 29일,"79,000 ","78,900 ","79,300 ","78,800 ","362,000 ",-0.25%
2021년 07월 28일,"79,200 ","78,200 ","79,200 ","78,100 ","900,000 ",0.89%
2021년 07월 27일,"78,500 ","79,100 ","79,300 ","78,500 ","444,000 ",-0.38%
2021년 07월 26일,"78,800 ","79,400 ","79,500 ","78,800 ","125,000 ",-0.63%
2021년 07월 23일,"79,300 ","79,700 ","79,900 ","79,200 ","8,980,000 ",-0.50%
2021년 07월 22일,"79,700 ","79,000 ","79,800 ","78,900 ","1,163,000 ",1.53%
2021년 07월 21일,"78,500 ","79,000 ","79,100 ","78,500 ","17,000 ",-0.63%
2021년 07월 20일,"79,000 ","78,600 ","79,000 ","78,400 ","55,000 ",0.00%
2021년 07월 19일,"79,000 ","79,200 ","79,200 ","78,800 ","248,000 ",-1.00%
2021년 07월 16일,"79,800 ","80,100 ","80,100 ","79,500 ","10,780,000 ",-0.99%
2021년 07월 15일,"80,600 ","79,800 ","80,600 ","79,500 ","70,000 ",1.38%
2021년 07월 14일,"79,500 ","79,400 ","79,600 ","79,100 ","11,410,000 ",-0.38%
2021년 07월 13일,"79,800 ","79,900 ","80,200 ","79,800 ","822,000 ",0.13%
2021년 07월 12일,"79,700 ","79,900 ","80,000 ","79,500 ","77,000 ",0.38%
2021년 07월 09일,"79,400 ","79,600 ","79,800 ","79,000 ","22,410,000 ",-0.63%
2021년 07월 08일,"79,900 ","81,100 ","81,100 ","79,900 ","682,000 ",-1.11%
2021년 07월 07일,"80,800 ","81,300 ","81,300 ","80,300 ","941,000 ",-0.49%
2021년 07월 06일,"81,200 ","80,500 ","81,200 ","80,500 ","2,257,000 ",1.00%
2021년 07월 05일,"80,400 ","80,200 ","80,800 ","80,000 ","76,000 ",0.50%
2021년 07월 02일,"80,000 ","80,000 ","80,400 ","79,900 ","8,180,000 ",-0.12%
2021년 07월 01일,"80,100 ","80,600 ","80,600 ","80,000 ","1,359,000 ",-0.74%
2021년 06월 30일,"80,700 ","81,200 ","81,400 ","80,700 ","97,000 ",-0.37%
2021년 06월 29일,"81,000 ","81,900 ","82,100 ","80,800 ","158,000 ",-1.10%
2021년 06월 28일,"81,900 ","81,700 ","82,000 ","81,600 ","5,664,000 ",0.37%
2021년 06월 25일,"81,600 ","81,500 ","81,900 ","81,200 ","12,970,000 ",0.49%
2021년 06월 24일,"81,200 ","80,300 ","81,400 ","80,100 ","211,000 ",1.37%
2021년 06월 23일,"80,100 ","80,600 ","80,600 ","79,900 ","225,000 ",0.13%
2021년 06월 22일,"80,000 ","80,200 ","80,300 ","79,900 ","138,000 ",0.13%
2021년 06월 21일,"79,900 ","79,700 ","80,000 ","79,600 ","15,990,000 ",-0.75%
2021년 06월 18일,"80,500 ","81,100 ","81,100 ","80,500 ","14,620,000 ",-0.49%
2021년 06월 17일,"80,900 ","81,200 ","81,200 ","80,700 ","39,000 ",-1.10%
2021년 06월 16일,"81,800 ","81,400 ","81,900 ","81,100 ","227,000 ",1.11%
2021년 06월 15일,"80,900 ","80,900 ","81,200 ","80,600 ","9,840,000 ",0.50%
2021년 06월 14일,"80,500 ","80,900 ","80,900 ","80,500 ","107,000 ",-0.62%
2021년 06월 11일,"81,000 ","81,200 ","81,700 ","80,700 ","13,810,000 ",0.00%
2021년 06월 10일,"81,000 ","81,400 ","81,400 ","80,900 ","32,000 ",-0.12%
2021년 06월 09일,"81,100 ","81,600 ","82,000 ","81,100 ","487,000 ",-0.98%
2021년 06월 08일,"81,900 ","82,300 ","82,600 ","81,800 ","1,346,000 ",0.00%
2021년 06월 07일,"81,900 ","82,700 ","82,800 ","81,600 ","395,000 ",-0.36%
2021년 06월 04일,"82,200 ","82,700 ","82,700 ","81,500 ","18,060,000 ",-0.72%
2021년 06월 03일,"82,800 ","81,300 ","83,000 ","81,100 ","1,210,000 ",2.48%
2021년 06월 02일,"80,800 ","80,400 ","81,400 ","80,300 ","127,000 ",0.25%
2021년 06월 01일,"80,600 ","80,400 ","81,200 ","80,100 ","406,000 ",0.12%
2021년 05월 31일,"80,500 ","80,300 ","80,600 ","79,600 ","13,280,000 ",0.50%
2021년 05월 28일,"80,100 ","79,800 ","80,400 ","79,400 ","12,270,000 ",0.63%
2021년 05월 27일,"79,600 ","80,000 ","80,000 ","79,100 ","151,000 ",-0.25%
2021년 05월 26일,"79,800 ","80,300 ","80,500 ","79,700 ","79,000 ",-0.13%
2021년 05월 25일,"79,900 ","80,000 ","80,400 ","79,800 ","12,550,000 ",0.25%
2021년 05월 24일,"79,700 ","80,100 ","80,400 ","79,500 ","88,000 ",-0.50%
2021년 05월 21일,"80,100 ","80,100 ","81,500 ","79,800 ","20,800,000 ",0.75%
2021년 05월 20일,"79,500 ","79,400 ","79,700 ","79,100 ","32,000 ",-0.13%
2021년 05월 18일,"79,600 ","79,600 ","80,000 ","79,100 ","17,270,000 ",0.00%
2021년 05월 17일,"79,600 ","80,900 ","80,900 ","79,200 ","645,000 ",-0.62%
2021년 05월 14일,"80,100 ","79,000 ","80,300 ","78,900 ","16,370,000 ",2.04%
2021년 05월 13일,"78,500 ","78,900 ","79,600 ","78,500 ","426,000 ",-1.88%
2021년 05월 12일,"80,000 ","80,900 ","81,100 ","79,800 ","971,000 ",-1.48%
2021년 05월 11일,"81,200 ","82,500 ","82,500 ","81,100 ","1,216,000 ",-2.40%
2021년 05월 10일,"83,200 ","82,300 ","83,500 ","81,800 ","702,000 ",1.59%
2021년 05월 07일,"81,900 ","81,800 ","82,100 ","81,500 ","12,800,000 ",-0.49%
2021년 05월 06일,"82,300 ","81,700 ","82,300 ","81,700 ","16,850,000 ",-0.36%
2021년 05월 04일,"82,600 ","81,900 ","82,600 ","81,800 ","12,290,000 ",1.10%
2021년 05월 03일,"81,700 ","81,000 ","82,400 ","81,000 ","15,580,000 ",0.25%
2021년 04월 30일,"81,500 ","81,900 ","82,100 ","81,500 ","17,260,000 ",-0.24%
2021년 04월 29일,"81,700 ","82,400 ","82,400 ","81,500 ","284,000 ",-0.49%
2021년 04월 28일,"82,100 ","83,100 ","83,200 ","82,100 ","680,000 ",-0.97%
2021년 04월 27일,"82,900 ","83,300 ","83,300 ","82,500 ","386,000 ",-0.72%
2021년 04월 26일,"83,500 ","82,900 ","83,500 ","82,600 ","337,000 ",0.85%
2021년 04월 23일,"82,800 ","81,900 ","82,900 ","81,600 ","17,740,000 ",0.49%
2021년 04월 22일,"82,400 ","82,800 ","83,000 ","82,400 ","815,000 ",-0.24%
2021년 04월 21일,"82,600 ","83,400 ","83,500 ","82,500 ","44,000 ",-1.55%
